ticker,status,bars
BUCK,ok,826,2026-02-14T04:17:37.242095
BUFB,ok,1007,2026-02-14T04:17:49.996944
BUFC,ok,544,2026-02-14T04:18:02.733395
BUFD,ok,1256,2026-02-14T04:18:15.588228
BUFF,ok,1255,2026-02-14T04:18:28.555562
BUFG,ok,1079,2026-02-14T04:18:41.393146
BUFH,ok,162,2026-02-14T04:18:54.124087
BUFI,ok,295,2026-02-14T04:19:06.862176
BUFM,ok,295,2026-02-14T04:19:19.586624
BUFP,ok,419,2026-02-14T04:19:32.308252
BUFQ,ok,919,2026-02-14T04:19:45.047388
BUFR,ok,1256,2026-02-14T04:19:57.886197
BUFS,ok,429,2026-02-14T04:20:11.367590
BUFT,ok,1079,2026-02-14T04:20:24.290538
BUFX,ok,162,2026-02-14T04:20:37.020211
BUFY,ok,347,2026-02-14T04:20:49.766562
BUFZ,ok,577,2026-02-14T04:21:02.492708
BUL,ok,1256,2026-02-14T04:21:15.355624
BULD,ok,948,2026-02-14T04:21:28.092574
BULG,ok,130,2026-02-14T04:21:40.823871
BULU,ok,137,2026-02-14T04:21:53.539657
BULX,ok,114,2026-02-14T04:22:06.264091
BULZ,ok,1127,2026-02-14T04:22:19.374596
BUSA,ok,592,2026-02-14T04:22:32.120383
BUXX,ok,631,2026-02-14T04:22:44.859924
BUYO,ok,339,2026-02-14T04:22:57.597326
BUYW,ok,860,2026-02-14T04:23:10.435438
BUYZ,ok,1256,2026-02-14T04:23:23.219293
BUZZ,ok,1244,2026-02-14T04:23:36.227850
BVAL,ok,164,2026-02-14T04:23:48.941331
BWEB,ok,844,2026-02-14T04:24:01.740563
BWET,ok,699,2026-02-14T04:24:14.882257
BWOW,ok,54,2026-02-14T04:24:27.598329
BWTG,ok,567,2026-02-14T04:24:40.359209
BWZ,ok,1256,2026-02-14T04:24:53.326092
BYLD,ok,1256,2026-02-14T04:25:06.339545
BYRE,ok,938,2026-02-14T04:25:19.125588
BZQ,ok,1256,2026-02-14T04:25:32.655744
CA,ok,543,2026-02-14T04:25:45.412631
CAAA,ok,493,2026-02-14T04:25:58.184567
CABZ,ok,22,2026-02-14T04:26:10.948547
CAFG,ok,700,2026-02-14T04:26:23.684962
CAFX,ok,359,2026-02-14T04:26:36.518629
CAIE,ok,162,2026-02-14T04:27:49.224805
CAIQ,ok,58,2026-02-14T04:28:01.937873
CALF,ok,1256,2026-02-14T04:28:14.907611
CALI,ok,650,2026-02-14T04:28:28.056130
CAM,ok,91,2026-02-14T04:28:40.941273
CAML,ok,623,2026-02-14T04:28:53.672690
CAMX,ok,754,2026-02-14T04:29:06.469677
CANC,ok,627,2026-02-14T04:29:19.219989
CANQ,ok,503,2026-02-14T04:29:31.945421
CAOS,ok,740,2026-02-14T04:29:44.852578
CAPE,ok,968,2026-02-14T04:29:57.816176
CARD,ok,661,2026-02-14T04:30:10.949104
CARK,ok,548,2026-02-14T04:30:23.704761
CARU,ok,661,2026-02-14T04:30:36.418271
CARY,ok,819,2026-02-14T04:30:49.585466
CAS,ok,273,2026-02-14T04:31:02.305935
CATF,ok,396,2026-02-14T04:31:15.040434
CATH,ok,1256,2026-02-14T04:31:28.011230
CBLS,ok,1256,2026-02-14T04:31:41.163375
CBOA,ok,216,2026-02-14T04:31:53.878983
CBOJ,ok,268,2026-02-14T04:32:06.610809
CBOL,ok,85,2026-02-14T04:32:19.339614
CBON,ok,1256,2026-02-14T04:32:32.350081
CBOO,ok,90,2026-02-14T04:32:45.170840
CBOY,ok,154,2026-02-14T04:32:57.920527
CBSE,ok,1256,2026-02-14T04:33:11.015340
CBTA,ok,216,2026-02-14T04:33:23.751026
CBTJ,ok,259,2026-02-14T04:33:36.470666
CBTL,ok,85,2026-02-14T04:33:49.242534
CBTO,ok,90,2026-02-14T04:34:01.963748
CBTY,ok,154,2026-02-14T04:34:14.748728
CBXA,ok,216,2026-02-14T04:34:27.488248
CBXJ,ok,259,2026-02-14T04:34:40.241677
CBXL,ok,85,2026-02-14T04:34:52.952925
CBXO,ok,90,2026-02-14T04:35:05.656170
CBXY,ok,154,2026-02-14T04:35:18.376088
CCEF,ok,523,2026-02-14T04:35:31.108162
CCFE,ok,170,2026-02-14T04:35:43.836065
CCNR,ok,401,2026-02-14T04:35:56.564038
CCOM,ok,14,2026-02-14T04:36:09.319867
CCOR,ok,1256,2026-02-14T04:36:22.143092
CCRP,ok,44,2026-02-14T04:36:34.903244
CCSB,ok,462,2026-02-14T04:36:47.642810
CCSO,ok,853,2026-02-14T04:37:00.384689
CCUP,ok,130,2026-02-14T04:37:13.097317
CDC,ok,1256,2026-02-14T04:38:26.248551
CDEI,ok,762,2026-02-14T04:38:38.997679
CDIG,ok,104,2026-02-14T04:38:51.840973
CDL,ok,1256,2026-02-14T04:39:04.983558
CDX,ok,1003,2026-02-14T04:39:17.843210
CEF,ok,1256,2026-02-14T04:39:30.752085
CEFA,ok,1256,2026-02-14T04:39:43.514335
CEFD,ok,1256,2026-02-14T04:39:56.426572
CEFS,ok,1256,2026-02-14T04:40:09.379852
CEFZ,ok,135,2026-02-14T04:40:22.284472
CEGX,ok,151,2026-02-14T04:40:35.010068
CELT,ok,89,2026-02-14T04:40:47.718055
CEMB,ok,1256,2026-02-14T04:41:00.796984
CEPI,ok,299,2026-02-14T04:41:13.529850
CERY,ok,362,2026-02-14T04:41:26.270305
CFIT,ok,222,2026-02-14T04:41:38.988527
CGBL,ok,597,2026-02-14T04:41:52.067798
CGCB,ok,597,2026-02-14T04:42:04.814801
CGCP,ok,997,2026-02-14T04:42:17.690109
CGCV,ok,410,2026-02-14T04:42:30.450326
CGDG,ok,597,2026-02-14T04:42:43.204797
CGDV,ok,997,2026-02-14T04:42:56.009386
CGGE,ok,410,2026-02-14T04:43:08.760166
CGGG,ok,161,2026-02-14T04:43:21.488433
CGGO,ok,997,2026-02-14T04:43:34.269331
CGGR,ok,997,2026-02-14T04:43:47.025389
CGHM,ok,410,2026-02-14T04:43:59.757869
CGHY,ok,161,2026-02-14T04:44:12.504477
CGIB,ok,410,2026-02-14T04:44:25.238623
CGIC,ok,410,2026-02-14T04:44:37.974498
CGIE,ok,597,2026-02-14T04:44:50.730050
CGMM,ok,271,2026-02-14T04:45:03.485699
CGMS,ok,827,2026-02-14T04:45:16.307871
CGMU,ok,827,2026-02-14T04:45:29.144956
CGNG,ok,410,2026-02-14T04:45:41.921341
CGRO,ok,584,2026-02-14T04:45:54.663983
CGSD,ok,827,2026-02-14T04:46:07.500533
CGSM,ok,597,2026-02-14T04:46:20.259007
CGUI,ok,410,2026-02-14T04:46:33.013570
CGUS,ok,997,2026-02-14T04:46:45.805011
CGV,ok,889,2026-02-14T04:46:58.971696
CGVV,ok,161,2026-02-14T04:47:11.850740
CGW,ok,1256,2026-02-14T04:47:24.800254
CGXU,ok,997,2026-02-14T04:47:37.597925
CHAT,ok,687,2026-02-14T04:47:50.342563
CHAU,ok,1256,2026-02-14T04:49:03.261409
CHPS,ok,651,2026-02-14T04:49:16.009447
CHPX,ok,94,2026-02-14T04:49:28.732778
CHPY,ok,218,2026-02-14T04:49:41.521015
CHRI,ok,99,2026-02-14T04:49:54.239615
CIFG,ok,44,2026-02-14T04:50:06.940998
CIFU,ok,57,2026-02-14T04:50:19.646066
CLCG,ok,143,2026-02-14T04:50:32.416358
CLCV,ok,143,2026-02-14T04:50:45.181479
CLIP,ok,666,2026-02-14T04:50:58.309785
CLNK,ok,22,2026-02-14T04:51:11.068065
CLOA,ok,774,2026-02-14T04:51:23.822591
CLOB,ok,348,2026-02-14T04:51:36.543160
CLOC,ok,78,2026-02-14T04:51:49.246777
CLOD,ok,542,2026-02-14T04:52:01.966304
CLOI,ok,915,2026-02-14T04:52:14.810577
CLOX,ok,647,2026-02-14T04:52:27.593539
CLOZ,ok,768,2026-02-14T04:52:40.430210
CLSE,ok,998,2026-02-14T04:52:53.188240
CLSM,ok,1153,2026-02-14T04:53:06.318890
CLSX,ok,105,2026-02-14T04:53:19.039196
CMBO,ok,69,2026-02-14T04:53:31.945982
CMBS,ok,1256,2026-02-14T04:53:45.047662
CMCI,ok,622,2026-02-14T04:53:58.181011
CMDT,ok,694,2026-02-14T04:54:10.967249
CMDY,ok,1256,2026-02-14T04:54:23.895702
CMF,ok,1256,2026-02-14T04:54:37.043057
CMGG,ok,61,2026-02-14T04:54:49.769878
CNAV,ok,344,2026-02-14T04:55:02.506845
CNCG,ok,39,2026-02-14T04:55:15.240724
CNEQ,ok,467,2026-02-14T04:55:27.963171
CNQQ,ok,97,2026-02-14T04:55:40.686208
CNXT,ok,1256,2026-02-14T04:55:53.593262
CNYA,ok,1256,2026-02-14T04:56:06.513095
COAL,ok,517,2026-02-14T04:56:19.244402
COIA,ok,109,2026-02-14T04:56:32.073292
COIG,ok,232,2026-02-14T04:56:44.789335
COII,ok,176,2026-02-14T04:56:57.527604
COIO,ok,128,2026-02-14T04:57:10.237232
COIW,ok,249,2026-02-14T04:57:23.023895
COLO,ok,1256,2026-02-14T04:57:35.993919
COM,ok,1256,2026-02-14T04:57:48.805924
COMB,ok,1256,2026-02-14T04:58:01.586329
COMD,ok,3,2026-02-14T04:58:14.364166
CONI,ok,363,2026-02-14T04:58:27.269458
CONL,ok,883,2026-02-14T04:59:40.016289
CONX,ok,59,2026-02-14T04:59:52.713764
CONY,ok,628,2026-02-14T05:00:05.728138
COPA,ok,349,2026-02-14T05:00:18.475679
COPJ,ok,761,2026-02-14T05:00:31.198383
COPP,ok,488,2026-02-14T05:00:43.910483
COPY,ok,283,2026-02-14T05:00:56.633137
CORB,ok,66,2026-02-14T05:01:09.786172
CORD,ok,97,2026-02-14T05:01:22.551234
CORO,ok,298,2026-02-14T05:01:35.291831
COSW,ok,78,2026-02-14T05:01:48.011649
COTG,ok,103,2026-02-14T05:02:00.731347
COWG,ok,788,2026-02-14T05:02:13.488531
COWS,ok,608,2026-02-14T05:02:26.222474
COWZ,ok,1256,2026-02-14T05:02:39.163458
COYY,ok,139,2026-02-14T05:02:52.051715
COZX,ok,69,2026-02-14T05:03:04.766769
CPAG,ok,129,2026-02-14T05:03:17.526047
CPAI,ok,554,2026-02-14T05:03:30.654336
CPHY,ok,129,2026-02-14T05:03:43.389475
CPII,ok,911,2026-02-14T05:03:56.537699
CPLB,ok,1162,2026-02-14T05:04:09.767247
CPLS,ok,544,2026-02-14T05:04:22.541159
CPNJ,ok,427,2026-02-14T05:04:35.276012
CPNM,ok,241,2026-02-14T05:04:48.017979
CPNQ,ok,301,2026-02-14T05:05:00.778827
CPNS,ok,364,2026-02-14T05:05:13.525796
CPRA,ok,220,2026-02-14T05:05:26.282988
CPRJ,ok,408,2026-02-14T05:05:38.999862
CPRO,ok,344,2026-02-14T05:05:51.694711
CPRY,ok,280,2026-02-14T05:06:04.432406
CPSA,ok,386,2026-02-14T05:06:17.161815
CPSD,ok,301,2026-02-14T05:06:30.078719
CPSF,ok,260,2026-02-14T05:06:42.822892
CPSJ,ok,408,2026-02-14T05:06:55.551450
CPSL,ok,360,2026-02-14T05:07:08.294094
CPSM,ok,449,2026-02-14T05:07:21.149061
CPSN,ok,321,2026-02-14T05:07:33.893874
CPSO,ok,343,2026-02-14T05:07:46.624888
CPSP,ok,220,2026-02-14T05:07:59.352790
CPSR,ok,241,2026-02-14T05:08:12.186134
CPST,ok,364,2026-02-14T05:08:24.927761
CPSU,ok,178,2026-02-14T05:08:37.697500
CPSY,ok,280,2026-02-14T05:08:50.429764
CPXR,ok,268,2026-02-14T05:09:03.147138
CRAK,ok,1256,2026-02-14T05:10:15.969165
CRBN,ok,1256,2026-02-14T05:10:28.925636
CRCA,ok,132,2026-02-14T05:10:41.743572
CRCD,ok,97,2026-02-14T05:10:54.494532
CRCG,ok,130,2026-02-14T05:11:07.211308
