date,value,cash,holdings_value
2024-01-10 00:00:00-05:00,1062273.5370633018,-176.77667914297584,1062450.3137424449
2024-01-11 00:00:00-05:00,1056685.4857680744,-201.93645641786512,1056887.4222244923
2024-01-12 00:00:00-05:00,1056211.8595453484,-227.0849566094256,1056438.9445019579
2024-01-16 00:00:00-05:00,1046678.3646560689,-252.00646342282755,1046930.3711194916
2024-01-17 00:00:00-05:00,1039538.6700279523,-276.75797345944636,1039815.4280014117
2024-01-18 00:00:00-05:00,1039464.7503514305,-301.5077234618614,1039766.2580748923
2024-01-19 00:00:00-05:00,1041253.6978911163,-326.30006846748336,1041579.9979595838
2024-01-22 00:00:00-05:00,1045998.9631186927,-351.2053986686475,1046350.1685173614
2024-01-23 00:00:00-05:00,1046670.5654540805,-376.1267197823426,1047046.6921738628
2024-01-24 00:00:00-05:00,1041094.2900467836,-400.9152692727301,1041495.2053160564
2024-01-25 00:00:00-05:00,1042616.7599517574,-425.740068909668,1043042.5000206671
2024-01-26 00:00:00-05:00,1045180.4450213087,-450.6259101206804,1045631.0709314294
2024-01-29 00:00:00-05:00,1053881.1423833582,-475.7189157251795,1054356.8612990833
2024-01-30 00:00:00-05:00,1051537.4479814183,-500.7561177533568,1052038.2040991718
2024-01-31 00:00:00-05:00,1043600.9658842335,-525.6043514228307,1044126.5702356563
2024-02-01 00:00:00-05:00,1051495.0267980027,-25.036191976308405,1051520.062989979
2024-02-02 00:00:00-05:00,1050859.2679253442,-50.05724647582849,1050909.32517182
2024-02-05 00:00:00-05:00,1044491.953252251,-74.92669463536208,1044566.8799468864
2024-02-06 00:00:00-05:00,1048979.9888206173,-99.90300332891711,1049079.8918239463
2024-02-07 00:00:00-05:00,1052621.4768992928,-124.96601618396825,1052746.4429154769
2024-02-08 00:00:00-05:00,1053743.9895266148,-150.05575616650628,1053894.0452827814
2024-02-09 00:00:00-05:00,1056737.9634775543,-175.21678294041885,1056913.1802604946
2024-02-12 00:00:00-05:00,1059989.2779581689,-200.45522380706257,1060189.733181976
2024-02-13 00:00:00-05:00,1044108.6123345051,-225.3155445845693,1044333.9278790896
2024-02-14 00:00:00-05:00,1053388.7059853293,-250.39682523375927,1053639.102810563
2024-02-15 00:00:00-05:00,1063370.81977978,-275.71578091793697,1063646.535560698
2024-02-16 00:00:00-05:00,1059718.8780153315,-300.94778353741196,1060019.825798869
2024-02-20 00:00:00-05:00,1060327.777172833,-326.1942841010643,1060653.971456934
2024-02-21 00:00:00-05:00,1061466.4393163754,-351.4678963136497,1061817.907212689
2024-02-22 00:00:00-05:00,1074005.397320667,-377.04006225380704,1074382.4373829209
2024-02-23 00:00:00-05:00,1075902.2135101676,-402.65739155950877,1076304.8709017271
2024-02-26 00:00:00-05:00,1074033.0200902082,-428.2302152003147,1074461.2503054084
2024-02-27 00:00:00-05:00,1074248.1933700037,-453.8081621364323,1074702.0015321402
2024-02-28 00:00:00-05:00,1071943.5222449095,-479.3312346439899,1072422.8534795535
2024-02-29 00:00:00-05:00,1075603.1314677645,-504.94144277913034,1076108.0729105435
2024-03-01 00:00:00-05:00,1076879.270533221,-25.640593122121278,1076904.9111263433
2024-03-04 00:00:00-05:00,1078965.7602007336,-51.330865752439465,1079017.091066486
2024-03-05 00:00:00-05:00,1069785.5949814694,-76.80255781609502,1069862.3975392855
2024-03-06 00:00:00-05:00,1079639.8839994678,-102.50888139521518,1079742.392880863
2024-03-07 00:00:00-05:00,1089925.2562320768,-128.46010062024618,1090053.716332697
2024-03-08 00:00:00-05:00,1078044.816033805,-154.128445486405,1078198.9444792913
2024-03-11 00:00:00-04:00,1068784.5862223222,-179.5763034406973,1068964.1625257628
2024-03-12 00:00:00-04:00,1081664.528006349,-205.3308339772898,1081869.8588403263
2024-03-13 00:00:00-04:00,1078620.5183216908,-231.01288636714887,1078851.531208058
2024-03-14 00:00:00-04:00,1073271.7590143469,-256.5675843126796,1073528.3265986596
2024-03-15 00:00:00-04:00,1069542.631115706,-282.0334913846505,1069824.6646070906
2024-03-18 00:00:00-04:00,1075765.1811269394,-307.6475579368765,1076072.8286848762
2024-03-19 00:00:00-04:00,1082288.120159797,-333.4169362592127,1082621.5370960562
2024-03-20 00:00:00-04:00,1093580.2258300963,-359.4551806419384,1093939.6810107382
2024-03-21 00:00:00-04:00,1101156.5872664698,-385.67381887776475,1101542.2610853475
2024-03-22 00:00:00-04:00,1099395.3775609208,-411.8505225507313,1099807.2280834715
2024-03-25 00:00:00-04:00,1094371.1592629333,-437.9075991302435,1094809.0668620635
2024-03-26 00:00:00-04:00,1092951.7354283375,-463.9308790994889,1093415.666307437
2024-03-27 00:00:00-04:00,1099817.349265791,-490.11762995702816,1100307.466895748
2024-03-28 00:00:00-04:00,1100164.3230834205,-516.3126422926414,1100680.635725713
2024-04-01 00:00:00-04:00,1094727.4523518386,-26.065559950368,1094753.517911789
2024-04-02 00:00:00-04:00,1095909.7537220642,-52.159270603527936,1095961.9129926676
2024-04-03 00:00:00-04:00,1104141.2311911487,-78.44897348195715,1104219.6801646308
2024-04-04 00:00:00-04:00,1095572.7886732484,-104.53466096673651,1095677.3233342152
2024-04-05 00:00:00-04:00,1105704.6766673315,-130.86158962378386,1105835.5382569553
2024-04-08 00:00:00-04:00,1105297.216492349,-157.17881661710152,1105454.395308966
2024-04-09 00:00:00-04:00,1103293.6999397657,-183.44833969955027,1103477.1482794653
2024-04-10 00:00:00-04:00,1102780.8048531087,-209.7056507034577,1102990.5105038122
2024-04-11 00:00:00-04:00,1102358.017279306,-235.95289509687913,1102593.970174403
2024-04-12 00:00:00-04:00,1090162.6415626085,-261.90976648816485,1090424.5513290968
2024-04-15 00:00:00-04:00,1088897.8054365788,-287.8365220165484,1089185.6419585953
2024-04-16 00:00:00-04:00,1082976.9710213195,-313.6223019403875,1083290.5933232598
2024-04-17 00:00:00-04:00,1077797.3148320406,-339.2847537804799,1078136.5995858212
2024-04-18 00:00:00-04:00,1080590.2992121521,-365.01370683203237,1080955.312918984
2024-04-19 00:00:00-04:00,1089830.4835779276,-390.96266951157065,1090221.4462474391
2024-04-22 00:00:00-04:00,1089396.7988569674,-416.9013061185605,1089813.700163086
2024-04-23 00:00:00-04:00,1092800.0251551236,-442.92097385243807,1093242.946128976
2024-04-24 00:00:00-04:00,1095184.6164481686,-468.99741892132465,1095653.61386709
2024-04-25 00:00:00-04:00,1094541.0466814355,-495.058540535683,1095036.1052219712
2024-04-26 00:00:00-04:00,1095745.0057444982,-521.1483285245517,1096266.1540730228
2024-04-29 00:00:00-04:00,1092174.3079439413,-547.1530978748682,1092721.4610418163
2024-04-30 00:00:00-04:00,1078624.4458421757,-572.8352437793463,1079197.281085955
2024-05-01 00:00:00-04:00,1062518.0755561767,-25.29865176694675,1062543.3742079437
2024-05-02 00:00:00-04:00,1076111.6962020886,-50.92096887454666,1076162.6171709632
2024-05-03 00:00:00-04:00,1082325.6328462784,-76.69124037735097,1082402.3240866556
2024-05-06 00:00:00-04:00,1087285.3518149331,-102.57960323872703,1087387.9314181719
2024-05-07 00:00:00-04:00,1087499.7543293186,-128.47307104342045,1087628.227400362
2024-05-08 00:00:00-04:00,1090330.276651444,-154.43393384137858,1090484.7105852852
2024-05-09 00:00:00-04:00,1103367.4011007266,-180.70521175515572,1103548.1063124817
2024-05-10 00:00:00-04:00,1104340.440278891,-206.99965782003562,1104547.439936711
2024-05-13 00:00:00-04:00,1108611.6800367627,-233.39580249102215,1108845.0758392538
2024-05-14 00:00:00-04:00,1111126.0866165613,-259.8518154107717,1111385.938431972
2024-05-15 00:00:00-04:00,1119806.2147866322,-286.51450296968096,1120092.7292896018
2024-05-16 00:00:00-04:00,1122838.4367523978,-313.24938800866755,1123151.6861404064
2024-05-17 00:00:00-04:00,1125766.0997369776,-340.05398096890417,1126106.1537179465
2024-05-20 00:00:00-04:00,1122401.0874053831,-366.77845268026357,1122767.8658580633
2024-05-21 00:00:00-04:00,1122659.849187714,-393.5090855331342,1123053.3582732473
2024-05-22 00:00:00-04:00,1114374.0504035945,-420.0424327652968,1114794.0928363597
2024-05-23 00:00:00-04:00,1098105.1163159637,-446.18841520097294,1098551.3047311646
2024-05-24 00:00:00-04:00,1105059.8914562764,-472.49999146365246,1105532.3914477401
2024-05-28 00:00:00-04:00,1101599.6889574868,-498.7291799909385,1102098.4181374777
2024-05-29 00:00:00-04:00,1090880.3727996983,-524.7031406280894,1091405.0759403263
2024-05-30 00:00:00-04:00,1099296.3823727306,-550.8774872166446,1099847.2598599473
2024-05-31 00:00:00-04:00,1105747.333960149,-577.2054315477036,1106324.5393916967
2024-06-03 00:00:00-04:00,1100918.2880276595,-26.21296430928894,1100944.500991969
2024-06-04 00:00:00-04:00,1083221.8018174628,-52.00457367659442,1083273.8063911393
2024-06-05 00:00:00-04:00,1091659.4714680596,-77.99708472371601,1091737.4685527834
2024-06-06 00:00:00-04:00,1092413.9906159823,-104.00756094019694,1092517.9981769226
2024-06-07 00:00:00-04:00,1089471.6685485533,-129.94798020133538,1089601.6165287546
2024-06-10 00:00:00-04:00,1088890.127448051,-155.87455291611553,1089046.002000967
2024-06-11 00:00:00-04:00,1085847.7890723136,-181.72868727817925,1086029.5177595918
2024-06-12 00:00:00-04:00,1092625.401991633,-207.7441972186929,1092833.1461888517
2024-06-13 00:00:00-04:00,1085679.5074302072,-233.59432477959214,1085913.101754987
2024-06-14 00:00:00-04:00,1083363.6045826424,-259.3893104836004,1083622.993893126
2024-06-17 00:00:00-04:00,1085096.3340730977,-285.22555263396345,1085381.5596257315
2024-06-18 00:00:00-04:00,1088497.043332155,-311.14276598028493,1088808.1860981353
2024-06-20 00:00:00-04:00,1085434.669352425,-336.9870639243413,1085771.6564163493
2024-06-21 00:00:00-04:00,1081805.3380683241,-362.7449471612833,1082168.0830154854
2024-06-24 00:00:00-04:00,1085944.171224957,-388.60137639114487,1086332.7726013483
2024-06-25 00:00:00-04:00,1084450.7370315632,-414.4222468173827,1084865.1592783805
2024-06-26 00:00:00-04:00,1083312.1256316444,-440.2160068028977,1083752.3416384473
2024-06-27 00:00:00-04:00,1084102.0222483587,-466.02857429851326,1084568.0508226573
2024-06-28 00:00:00-04:00,1084482.8009611464,-491.8502081698232,1084974.6511693161
2024-07-01 00:00:00-04:00,1081351.078782595,-25.74706728225271,1081376.8258498772
2024-07-02 00:00:00-04:00,1084063.4132350886,-51.558715493759856,1084114.9719505822
2024-07-03 00:00:00-04:00,1085107.912081605,-77.39523331755578,1085185.3073149226
2024-07-05 00:00:00-04:00,1082730.6878587233,-103.17514921695155,1082833.8630079404
2024-07-08 00:00:00-04:00,1078432.808213519,-128.85273221210664,1078561.660945731
2024-07-09 00:00:00-04:00,1079911.8196268552,-154.56553060318393,1080066.3851574585
2024-07-10 00:00:00-04:00,1084753.2787597259,-180.39360457541483,1084933.6723643013
2024-07-11 00:00:00-04:00,1088707.86778421,-206.31583767106497,1088914.183621881
2024-07-12 00:00:00-04:00,1088515.0668250464,-232.2334801583872,1088747.300305205
2024-07-15 00:00:00-04:00,1091447.4951353245,-258.2209440297966,1091705.7160793543
2024-07-16 00:00:00-04:00,1098425.4015329892,-284.3745524855453,1098709.7760854748
2024-07-17 00:00:00-04:00,1099337.9804884421,-310.54988952900925,1099648.5303779712
2024-07-18 00:00:00-04:00,1095620.1604296826,-336.6367049396067,1095956.7971346222
2024-07-19 00:00:00-04:00,1088833.3204122768,-362.56192507371173,1089195.8823373504
2024-07-22 00:00:00-04:00,1092760.276556812,-388.58064638985763,1093148.8572032019
2024-07-23 00:00:00-04:00,1087764.6045622055,-414.48042030262235,1088179.084982508
2024-07-24 00:00:00-04:00,1080346.9590666224,-440.2035794032348,1080787.1626460257
2024-07-25 00:00:00-04:00,1084071.7252866796,-466.01542552544436,1084537.740712205
2024-07-26 00:00:00-04:00,1088543.9545315297,-491.9337558316785,1089035.8882873615
2024-07-29 00:00:00-04:00,1082912.05090626,-517.7179900016888,1083429.7688962617
2024-07-30 00:00:00-04:00,1083959.2508086967,-543.5271580963744,1084502.7779667932
2024-07-31 00:00:00-04:00,1093551.9285597345,-569.5647287185257,1094121.493288453
2024-08-01 00:00:00-04:00,1073395.056870401,-25.557633678595803,1073420.6145040796
2024-08-02 00:00:00-04:00,1086658.8534103283,-51.431079556124516,1086710.2844898845
2024-08-05 00:00:00-04:00,1086480.7666315068,-77.30028517129409,1086558.066916678
2024-08-06 00:00:00-04:00,1081664.5669010694,-103.05481663397343,1081767.6217177033
2024-08-07 00:00:00-04:00,1080980.7982258545,-128.79306750246684,1081109.591293357
2024-08-08 00:00:00-04:00,1077195.8899439084,-154.44119936141368,1077350.3311432698
2024-08-09 00:00:00-04:00,1076519.7784872095,-180.0732329452421,1076699.8517201548
2024-08-12 00:00:00-04:00,1076732.658672029,-205.71033522558278,1076938.3690072545
2024-08-13 00:00:00-04:00,1077508.432860402,-231.3659087597241,1077739.7987691616
2024-08-14 00:00:00-04:00,1077113.2519147445,-257.0120729996999,1077370.2639877442
2024-08-15 00:00:00-04:00,1073258.4616648187,-282.5664543341321,1073541.0281191529
2024-08-16 00:00:00-04:00,1076151.1127364356,-308.18970995299054,1076459.3024463886
2024-08-19 00:00:00-04:00,1079041.0350455153,-333.88177488419166,1079374.9168203995
2024-08-20 00:00:00-04:00,1081925.9617184948,-359.6425301811867,1082285.604248676
