cagr,log_cagr,vol,sharpe,sortino,max_dd,config,window,num_positions,tau,regime,weighting,n_days,turnover,test
0.18189435391618036,0.16811602798805245,0.1378627474363782,0.9986275437339163,1.3580383172864687,-0.11182816489964764,2b_quality_70,3y,30,1.0,off,exponential,751,0.31535192206819845,t2
0.11174473995279932,0.10614858481379513,0.19806994802249045,0.4338111287595893,0.5122495810257068,-0.36942530384253847,2b_volatility_70,full,30,1.0,off,exponential,3875,0.30949474867305266,t2
0.0681444989686728,0.06619311349319397,0.16520539776074739,0.2414704364257604,0.29244023359917926,-0.19059200627596973,2b_volatility_70,5y,30,1.0,off,exponential,1254,0.30949474867305266,t2
0.09523353341330765,0.09151057780411156,0.11644510124542559,0.5007701940701952,0.5787280596542158,-0.11182816489964764,2b_volatility_70,3y,30,1.0,off,exponential,751,0.30949474867305266,t2
0.13041103414997224,0.12283354028237518,0.2028808899336557,0.5105732208961885,0.6206682766278144,-0.36942530384253847,prior,full,30,1.0,off,exponential,3875,0.31760059719692085,t2
0.12442414660240275,0.11775148864530538,0.1823970095447554,0.5179111800359257,0.6925306753189869,-0.19059200627596973,prior,5y,30,1.0,off,exponential,1254,0.31760059719692085,t2
0.19309124181451365,0.1776013933044414,0.15335101360998357,0.9744779291544208,1.300110209341629,-0.13388524145577008,prior,3y,30,1.0,off,exponential,751,0.31760059719692085,t2
0.12897802995421492,0.12156244182506944,0.20235734923362353,0.5050826064850569,0.6130239579153522,-0.36942530384253847,2c_m30_q25_v25,full,30,1.0,off,exponential,3875,0.3214302064420607,t2
0.12003420528251829,0.11382365250331193,0.18058893601617687,0.49951081694922667,0.6652690411487732,-0.19059200627596973,2c_m30_q25_v25,5y,30,1.0,off,exponential,1254,0.3214302064420607,t2
0.1853379673382245,0.17104279607133913,0.14974342200383037,0.9504595942157645,1.2639295816973848,-0.12137796077304064,2c_m30_q25_v25,3y,30,1.0,off,exponential,751,0.3214302064420607,t2
0.13142399229899082,0.12373107922345244,0.20280644969217335,0.5151119417325768,0.6264046342181905,-0.36942530384253847,2c_m30_q35_v15,full,30,1.0,off,exponential,3875,0.31532146356649393,t2
0.12753430081201533,0.12052498417694361,0.18214136423378605,0.533609683304368,0.7156265473263448,-0.19059200627596973,2c_m30_q35_v15,5y,30,1.0,off,exponential,1254,0.31532146356649393,t2
0.198596456741569,0.18223250302038593,0.15283591681482184,1.0075547858571663,1.3539142085889724,-0.1300690062270592,2c_m30_q35_v15,3y,30,1.0,off,exponential,751,0.31532146356649393,t2
0.12908083229679157,0.12165368291119072,0.20214367813909806,0.5058512839003908,0.6139796878121822,-0.36942530384253847,2c_m30_q35_v25,full,30,1.0,off,exponential,3875,0.3194335441660055,t2
0.12034874915519134,0.11410559764583184,0.179847587317364,0.5023853271726022,0.6697011153914832,-0.19059200627596973,2c_m30_q35_v25,5y,30,1.0,off,exponential,1254,0.3194335441660055,t2
0.18589282493984904,0.17151358063687844,0.14824497795539232,0.9617186799746525,1.285600112828242,-0.11866576456063771,2c_m30_q35_v25,3y,30,1.0,off,exponential,751,0.3194335441660055,t2
0.13174510852675514,0.12401543885644398,0.2033580336355765,0.5156691225666932,0.6275032616168288,-0.36942530384253847,2c_m40_q25_v15,full,30,1.0,off,exponential,3875,0.31744907930591315,t2
0.12852145791007374,0.1214036871895769,0.18403316730819613,0.5347976924007559,0.7173058739728533,-0.19059200627596973,2c_m40_q25_v15,5y,30,1.0,off,exponential,1254,0.31744907930591315,t2
0.20034592054045053,0.18369973814401064,0.1565733253951322,0.996601670773062,1.3316816624012198,-0.13968262742651494,2c_m40_q25_v15,3y,30,1.0,off,exponential,751,0.31744907930591315,t2
0.13000646144440298,0.12247484090887492,0.20286440223537544,0.5088295517090741,0.6180819978031448,-0.36942530384253847,2c_m40_q25_v25,full,30,1.0,off,exponential,3875,0.3189378033007871,t2
0.12318358133778307,0.11664306753500756,0.18234007035012034,0.5119356205786335,0.6832052050935484,-0.19059200627596973,2c_m40_q25_v25,5y,30,1.0,off,exponential,1254,0.3189378033007871,t2
0.19089817383265828,0.1757505809578189,0.15324049075050145,0.9629868596247569,1.2788083690244274,-0.13162779934640745,2c_m40_q25_v25,3y,30,1.0,off,exponential,751,0.3189378033007871,t2
0.1321852187070396,0.12440504074769992,0.20324019203509772,0.5177673972179236,0.6299760532701831,-0.36942530384253847,2c_m40_q35_v15,full,30,1.0,off,exponential,3875,0.31489457600211745,t2
0.12987536787695486,0.12260760052978173,0.1836303923049813,0.5421244488204235,0.7273664985988426,-0.19059200627596973,2c_m40_q35_v15,5y,30,1.0,off,exponential,1254,0.31489457600211745,t2
0.20274701228172542,0.18571000089849382,0.15577847956294394,1.0137992256546429,1.3572868419997821,-0.1339439380888171,2c_m40_q35_v15,3y,30,1.0,off,exponential,751,0.31489457600211745,t2
0.13041103414997224,0.12283354028237518,0.2028808899336557,0.5105732208961885,0.6206682766278144,-0.36942530384253847,no_regime,full,30,1.0,off,exponential,3875,0.31760059719692085,t3
0.12442414660240275,0.11775148864530538,0.1823970095447554,0.5179111800359257,0.6925306753189869,-0.19059200627596973,no_regime,5y,30,1.0,off,exponential,1254,0.31760059719692085,t3
0.19309124181451365,0.1776013933044414,0.15335101360998357,0.9744779291544208,1.300110209341629,-0.13388524145577008,no_regime,3y,30,1.0,off,exponential,751,0.31760059719692085,t3
0.10135146963681807,0.09673667374226894,0.15945660007447726,0.435955407286886,0.5530317346149631,-0.27110998093485694,regime_vix20_0.60,full,30,1.0,vix20_0.60,exponential,3875,0.31760059719692085,t3
0.08112162745106777,0.07831860445666787,0.14641342473042254,0.3351311942539421,0.45781992201617105,-0.1467886918894178,regime_vix20_0.60,5y,30,1.0,vix20_0.60,exponential,1254,0.31760059719692085,t3
0.15018122851040405,0.14075466738859374,0.13855213624971074,0.796828914909125,1.0546028876571762,-0.11084888267859194,regime_vix20_0.60,3y,30,1.0,vix20_0.60,exponential,751,0.31760059719692085,t3
0.11264091376264962,0.10695601481018463,0.16800461547721668,0.48303814792880734,0.6099214445582992,-0.2711099809348574,regime_vix25_0.60,full,30,1.0,vix25_0.60,exponential,3875,0.31760059719692085,t3
0.08642693615044084,0.0832338852658419,0.1530873779674586,0.359228601439137,0.48546027224723914,-0.17637653195306469,regime_vix25_0.60,5y,30,1.0,vix25_0.60,exponential,1254,0.31760059719692085,t3
0.1646256071348806,0.1533093066549637,0.14281460048550243,0.8652274055657453,1.1531831449930814,-0.11182816489964764,regime_vix25_0.60,3y,30,1.0,vix25_0.60,exponential,751,0.31760059719692085,t3
0.10698398451670732,0.10184832172583833,0.17599626210266087,0.4399973557235473,0.5421939908737662,-0.31057454681548025,regime_vix30_0.60,full,30,1.0,vix30_0.60,exponential,3875,0.31760059719692085,t3
0.07783094025115544,0.07525770206030445,0.1583329578179869,0.30222143679808594,0.39426625997112197,-0.20478621433180777,regime_vix30_0.60,5y,30,1.0,vix30_0.60,exponential,1254,0.31760059719692085,t3
0.16284444437999013,0.1517696138420168,0.14302086493669436,0.8534259343913602,1.1292328541591894,-0.11182816489964764,regime_vix30_0.60,3y,30,1.0,vix30_0.60,exponential,751,0.31760059719692085,t3
0.10249630151578581,0.09777775074817734,0.15551929920359753,0.44969455944054587,0.5666888571301861,-0.23336521817911493,regime_vix25_0.40,full,30,1.0,vix25_0.40,exponential,3875,0.31760059719692085,t3
0.06692173587237238,0.06504301068942722,0.14270620254500127,0.24706229424807857,0.32629003203365126,-0.2092402178065329,regime_vix25_0.40,5y,30,1.0,vix25_0.40,exponential,1254,0.31760059719692085,t3
0.15030978298997932,0.14086709711874507,0.1393759519249147,0.793767280270437,1.0475218058248583,-0.11182816489964764,regime_vix25_0.40,3y,30,1.0,vix25_0.40,exponential,751,0.31760059719692085,t3
