config,window,risk_aversion,axioma_penalty,shrinkage_strength,n_resample,cagr,log_cagr,vol,sharpe,sortino,max_dd
mvo_r1.00_a0.050_s0.20_n0,full,1.0,0.05,0.2,0,0.1179984316466487,0.11176947960745712,0.20605768173224123,0.4522437302584274,0.5418313949074842,-0.38428095516348604
mvo_r1.00_a0.050_s0.20_n0,5y,1.0,0.05,0.2,0,0.12672704966929715,0.1198058497732448,0.18300953432697928,0.5280551855298389,0.6995009219676005,-0.18457729631151287
mvo_r1.00_a0.050_s0.50_n0,full,1.0,0.05,0.5,0,0.11627368300182672,0.11022240047885437,0.19906999329280986,0.4532092246395942,0.5377483734113181,-0.38410758072715523
mvo_r1.00_a0.050_s0.20_n0,3y,1.0,0.05,0.2,0,0.17610628563392328,0.16317741386998333,0.15776606500051826,0.8601573857981941,1.1211039793371715,-0.12569506864991664
mvo_r1.00_a0.050_s0.50_n0,5y,1.0,0.05,0.5,0,0.14374519959233,0.13485839443964703,0.16807602093160817,0.6488789690225005,0.8747615349031514,-0.13968210952687843
mvo_r1.00_a0.050_s0.50_n0,3y,1.0,0.05,0.5,0,0.18725590945784565,0.17266919350409363,0.14979876899801736,0.9610400236964313,1.2884281682884466,-0.12544551967730921
mvo_r1.00_a0.050_s0.80_n0,full,1.0,0.05,0.8,0,0.1132399397170285,0.10749535952858129,0.18337998735398356,0.46046863220139894,0.5507668008248342,-0.3496262871999022
mvo_r1.00_a0.050_s0.80_n0,5y,1.0,0.05,0.8,0,0.13329901013733214,0.1256455205521082,0.15916997932154953,0.6181197153609214,0.8162623335503096,-0.129251385294316
mvo_r1.00_a0.050_s0.80_n0,3y,1.0,0.05,0.8,0,0.18779241207980335,0.1731236725872763,0.14619334825267688,0.9841975426526258,1.3039920046412121,-0.12544551967730933
mvo_r1.00_a0.100_s0.20_n0,full,1.0,0.1,0.2,0,0.1184488921186031,0.11217314425275973,0.19657214728476247,0.4663433399900191,0.5554391296657856,-0.3841075807271551
mvo_r1.00_a0.100_s0.20_n0,5y,1.0,0.1,0.2,0,0.14638164945580745,0.13717027724291464,0.16594794577114322,0.6689898778857151,0.9008810582179109,-0.1393176834486073
mvo_r1.00_a0.100_s0.20_n0,3y,1.0,0.1,0.2,0,0.18961506239244597,0.17466613400535044,0.1488581895080509,0.9795904050785385,1.3127428457786758,-0.125445519677309
mvo_r1.00_a0.100_s0.50_n0,full,1.0,0.1,0.5,0,0.109905369688855,0.10448931775312217,0.19082231223178026,0.4342390459823077,0.5148426338333786,-0.3820948876819251
mvo_r1.00_a0.100_s0.50_n0,5y,1.0,0.1,0.5,0,0.13415892680074615,0.12640711328331944,0.16246600038995976,0.6135254468969314,0.8192388640908251,-0.13840316445428913
mvo_r1.00_a0.100_s0.50_n0,3y,1.0,0.1,0.5,0,0.1882129365553351,0.1734797614269145,0.14739082650456617,0.9797962431436168,1.3119974493990885,-0.12544551967730933
mvo_r1.00_a0.100_s0.80_n0,full,1.0,0.1,0.8,0,0.11064804270497475,0.10515960218223754,0.17670601891698207,0.45787185979413875,0.538446621076477,-0.3480915821450461
mvo_r1.00_a0.100_s0.80_n0,5y,1.0,0.1,0.8,0,0.09416601161539662,0.09036113449916684,0.15691557210115076,0.39999573682356016,0.5002495876951356,-0.20018395643873954
mvo_r1.00_a0.100_s0.80_n0,3y,1.0,0.1,0.8,0,0.16782453486735438,0.15606865688139945,0.1410886938427953,0.8936338731217982,1.1817376490821372,-0.12716421951169687
mvo_r1.50_a0.001_s0.20_n0,full,1.5,0.001,0.2,0,0.13136437530886091,0.1236782774143675,0.2088035590437583,0.5060574712439645,0.6100146750842763,-0.3860368243446254
mvo_r1.50_a0.001_s0.20_n0,5y,1.5,0.001,0.2,0,0.13227575630355703,0.12473851351791987,0.1854098708060748,0.550209808892408,0.7296267493460663,-0.19803925185775906
mvo_r1.50_a0.001_s0.20_n0,3y,1.5,0.001,0.2,0,0.18026589017294814,0.16672900614459857,0.15754588672633366,0.883694978326437,1.1540624030470195,-0.1254455196773091
mvo_r1.50_a0.001_s0.50_n0,full,1.5,0.001,0.5,0,0.1312575341784632,0.12358364298228708,0.20886436265119385,0.5055173419536115,0.6094775009961859,-0.3860723745094604
mvo_r1.50_a0.001_s0.50_n0,5y,1.5,0.001,0.5,0,0.13264327594839842,0.12506437537252293,0.18539339883147868,0.5520006522275845,0.7319709932662323,-0.19803925185775906
mvo_r1.50_a0.001_s0.50_n0,3y,1.5,0.001,0.5,0,0.18052030296863886,0.16694582487122792,0.15755112984415615,0.8850478211574232,1.1557691997786568,-0.12544551967730944
mvo_r1.50_a0.001_s0.80_n0,full,1.5,0.001,0.8,0,0.1295627729511557,0.12208131329505441,0.20811523459628592,0.4993702506444628,0.6014657149056588,-0.38608132251994853
mvo_r1.50_a0.001_s0.80_n0,5y,1.5,0.001,0.8,0,0.1327773883694292,0.1251832600241681,0.18539873586444355,0.5526316300357018,0.7328026349255079,-0.19803925185775906
mvo_r1.50_a0.001_s0.80_n0,3y,1.5,0.001,0.8,0,0.18071229504054864,0.16710941572542848,0.15755409308988563,0.8860730902009679,1.157059284553253,-0.1254455196773091
mvo_r1.50_a0.010_s0.20_n0,full,1.5,0.01,0.2,0,0.12551554522753272,0.11848448942273464,0.21043743559922654,0.47907317672106325,0.5793098363039578,-0.38603682434462516
