label,window,w_momentum,w_quality,w_volatility,sharpe,sortino,cagr,volatility,max_drawdown,hit_rate_monthly,turnover_avg
grid,full,0.1,0.3,0.6,-0.9634350117297373,-0.9423898869485202,-0.0007752893979703357,0.04143364291232845,-0.11978502621366083,0.6170212765957447,0.45346625020135406
grid,3yr,0.1,0.3,0.6,-0.11161599738380347,-0.10327957959879326,0.0359038012233035,0.034949111698813574,-0.0682039411011659,0.7297297297297297,0.46912421720799025
grid,full,0.1,0.4,0.5,-0.7716305063237393,-0.7626317143756294,0.0038377153078290593,0.045507437932572455,-0.12120021934062519,0.5957446808510638,0.45605539641043646
grid,3yr,0.1,0.4,0.5,0.03778230153798243,0.03509935569078643,0.04129556861742456,0.03939836545724708,-0.07988308738274996,0.7297297297297297,0.4756178128197205
grid,full,0.1,0.5,0.4,-0.6109031239194662,-0.6144644847414967,0.008069327519484082,0.050196056081699594,-0.1144603089686883,0.5957446808510638,0.4514093587855831
grid,3yr,0.1,0.5,0.4,0.10294857316355617,0.09751622289795796,0.044331039271299,0.04537952972695239,-0.08728720508457166,0.7297297297297297,0.47396890886686244
grid,full,0.1,0.6,0.3,-0.3068112686084309,-0.327037589674912,0.02148016408418929,0.05572883420655098,-0.12115459144037621,0.574468085106383,0.4558302499744322
grid,3yr,0.1,0.6,0.3,0.4542027016293141,0.46617224977185145,0.06370428465392175,0.05167731515292783,-0.08965570132260425,0.7027027027027027,0.4775111577551539
grid,full,0.1,0.7,0.2,0.038220808437641474,0.04358845836363174,0.04096045419334615,0.06675060130575966,-0.1165393080357916,0.6170212765957447,0.4421067713789928
grid,3yr,0.1,0.7,0.2,0.7025691076503594,0.7863633399422748,0.0871130157444564,0.06576261157745154,-0.08936461433829501,0.7297297297297297,0.46643977647573404
grid,full,0.1,0.8,0.1,0.3042721201940089,0.37600338639162756,0.06304013644874429,0.08118132461053641,-0.12025022608304947,0.6382978723404256,0.43257103688916004
grid,3yr,0.1,0.8,0.1,0.9204817653849487,1.130358566429507,0.11878479363283945,0.0829798064020682,-0.09147876703678248,0.7567567567567568,0.4547314311001902
grid,full,0.1,0.9,0.0,0.004295782562914824,0.004548793257374483,0.023964232214473524,0.18281183405075993,-0.34024415593114976,0.6170212765957447,0.4732118945835558
grid,3yr,0.1,0.9,0.0,0.23278418057444059,0.23512031065355704,0.06741429899609708,0.18592516138949922,-0.34024415593114976,0.7027027027027027,0.5089321666886275
